"Timestamp","Koliko se godina profesionalno bavite digitalnim produktima?","Vaše zanimanje","Spol","Koliko godina imate","Prebivalište","U kojoj županiji radite","Obrazovanje","Koja je vaša trenutna dizajnerska uloga?","Na skali od 1-7, koliko vas je obrazovanje pripremilo za trenutnu radnu poziciju?","Koliko godina radite na trenutnoj poziciji?","Trenutno radite na poziciji:","U kojoj od navedenih tipova firma trenutno radite?","Koliko zaposlenika ima firma u kojoj radite? ","Ima li firma u kojoj radite dizajn tim? ","Koliko dizajnera ima u tvrtki u kojoj radite?","Koje timske aktivnosti održavate unutar design tima?","Odaberite koliki postotak projekata radite za pojedino tržište: [HR tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [Europsko tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [US tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [Globalno tržište]","Koliko sati provedete na sastancima tjedno?","Što vam je najbitnije na radnom mjestu? [Novčana naknada za obavljeni posao]","Što vam je najbitnije na radnom mjestu? [Mogućnost rada od kuće]","Što vam je najbitnije na radnom mjestu? [Edukacija]","Što vam je najbitnije na radnom mjestu? [Mogućnost profesionalnog razvoja]","Što vam je najbitnije na radnom mjestu? [Kultura kompanije i atmosfera u uredu]","Što vam je najbitnije na radnom mjestu? [Projekti]","Što vam je najbitnije na radnom mjestu? [Status i financijska pozadina tvrtke u kojoj radim]","Što vam je najbitnije na radnom mjestu? [Perks & Benefits (voće, kava, piva, grickalice...)]","Što vam je najbitnije na radnom mjestu? [Putovanja (konferencije, rad s inozemnim klijentima)]","Koliko ste zadovoljni trenutnim poslom?","Koliko ste plaćeni za posao koji radite (neto prihodi mjesečne plaće)?","Koliko ste zadovoljni mjesečnim prihodima?","Gdje najčešće radite?","Koja vrsta edukacije je pristuna na poslu?","S kojim pozicijama blisko surađujete na trenutnom radnom mjestu?","Koje metode koristite u dizajn procesu?","Kako znate jesu li vaša dizajn rješenja uspješna?","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Istraživanje i definiranje potreba korisnika]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Testiranje rješenja]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Strategija proizvoda]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Strategija kompanije]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Akvizicijske metrike (acquisition)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Retention / Engagement ]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Konverzijske metrike (conversion)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Revenue (Model zarade)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Financijske metrike]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Poslovni model]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Upravljanje resursima]","Da ste u prilici dati jedan savjet mangementu tvrtke u kojoj radite, sa željom da unaprijedite dizajn proces, što biste im rekli?","Koju biste tvrtku na našem tržištu izdvojili kao dobar primjer ulaganja u dizajn procese ili kvalitetnog pristupa rješavanju dizajn/produkt problema?","Kako biste u par riječi opisali zašto ste izabrali tu tvrtku kao primjer dobre dizajn prakse?","Koje će po vama biti tri najvrednije dizajn vještine ili znanja potrebna za rad u budućnosti (gledano 3-8 godina unaprijed)?","Koja će nadolazeća tehnologija najviše utjecati na područje dizajna kojim se bavite?"
"2018/07/01 11:58:01 PM GMT+2","4 - 7 godina","UX/UI dizajner","Ženski","26-30","ZAGREBAČKA","GRAD ZAGREB","TVZ","UX/UI dizajner","2","2-5 godina","Medium Dizajner","Digitalna agencija","151-500","Ima više dizajn timova","10-15","Revizija dizajna;Mentoriranje;Tjedni standupovi, edukacije, interni dizajn challengesi","0","25%","75%","50%","4 - 8 sata / tjedno","4","4","5","5","5","5","3","2","4","5","7000kn - 8900kn","4","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Organizirana edukacija unutar tvrtke;Audio knjige;Blogovi;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","Programeri;Project managers;Kreativni direktor","Research;Intervjui s korisnicima;Analiza konkurencije;Persone;Wireframing;Izrada prototipa;Usability testing;Design Sprint","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","","","","Komunikacijske vještine u prenošenju ideja, razumijevanje tehnologije trenutno u trendu","VR;AR;Chatbots;360 video;AI;Machine learning"
"2018/07/02 8:50:54 AM GMT+2","8 - 10 godina","UX/UI dizajner","Muški","26-30","SISAČKO-MOSLAVAČKA","ZAGREBAČKA","FOI","UX/UI dizajner","1","manje od 1 godine","Lead Dizajner","velika korporacija","51-150","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje","75%","25%","0","0","1 - 3 sata / tjedno","4","5","5","5","5","4","2","3","3","4","7000kn - 8900kn","4","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Online tečajevi;Konferencije i događanja u HR","Programeri;Sales;Project managers","Research;Analiza konkurencije;Persone;Journey Mapping;Wireframing;Izrada prototipa","Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","Dizajn je kako nesto funkcionira, a ne kako izgleda","Mono software","Vidi se da drze do dizajna, a uspjesni su","Razumijevanje usera i poslovnih ciljeva, stvaranje strategije za ispunjavanje tih ciljeva, egzekucija strategije","Chatbots;Machine learning"
"2018/07/02 11:35:27 AM GMT+2","2 - 3 godine","Copywriter","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","FPZG - odnosi s javnostima","Copywriter","2","2-5 godina","Copywriter","Digitalna agencija","51-150","Ima jedan dizajn tim","10-15","Revizija dizajna;Mentoriranje;Tjedne sastanke i revizije projekata; Teambuildinge.","75%","25%","0","0","1 - 3 sata / tjedno","5","4","5","5","5","5","4","4","5","4","5000kn - 6900kn","3","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Organizirana edukacija unutar tvrtke;Konferencije i događanja u HR","UI dizajn;UX dizajn;Project managers;Kreativni direktor;Copywritter;Researcher;Data analyst","Research;Analiza konkurencije;Persone","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Smatram da bi trebali bolje ustrojiti organizaciju dizajn tima, podjelu projekata i odgovornosti za zadatke. Također trebalo bi više inzistirati na educiranju.","Rimac automobili","Ustroj i posao koji rade na digitalnim kanalima.","Komunikacija, Kreativnost i Upravljanje vremenom.","VR;AR;AI;Machine learning"
"2018/07/02 6:37:25 PM GMT+2","8 - 10 godina","Multimedijalni dizajner","Ženski","31-35","ZAGREBAČKA","ZAGREBAČKA","GRF","Multimedijalni dizajner","3","6-10 godina","Senior Dizajner","Autorski ugovor (freelance)","1","Nema","Samo ja","Nema design tima","50%","25%","0","0","1 - 3 sata / tjedno","5","5","5","5","5","5","5","1","4","4","5000kn - 6900kn","4","Najčešće remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Networking događaji / meetups;Konferencije i događanja u HR","Programeri;Sales;Project managers;Executives;Copywritter","Research;Persone;Perception","Po vracanju klijenata i uspjesnosti projekta","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","","_","_","Estetika
Funkcionalnost
Brzina","VR;AR;360 video"
"2018/07/02 6:41:33 PM GMT+2","4 - 7 godina","UX/UI dizajner","Muški","26-30","DUBROVAČKO-NERETVANSKA","BiH","Srednja stručna sprema","UX/UI dizajner","1","2-5 godina","Senior Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","51-150","Nema","2-5","Nema design tima","25%","25%","0","50%","1 - 3 sata / tjedno","4","4","3","4","4","3","3","1","2","4","9000kn - 9900kn","3","Najčešće u uredu","Edukacija je prisutna jedino u radu na projektima;Online tečajevi;Networking događaji / meetups","Programeri;Sales;Executives","Research;Intervjui s korisnicima;Analiza konkurencije;Persone;Wireframing;Izrada prototipa;Usability testing;Design Sprint","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne znam","Ne znam","Ne znam","Ne znam","VR;AR"
"2018/07/02 6:44:22 PM GMT+2","2 - 3 godine","UX/UI dizajner","Muški","22-25","POŽEŠKO-SLAVONSKA","ZAGREBAČKA","TVZ","UX/UI dizajner","4","manje od 1 godine","Junior Dizajner","Digitalna agencija","21-50","Nema","2-5","Mentoriranje","0","0","75%","25%","1 - 3 sata / tjedno","4","2","4","4","5","5","4","3","2","4","2800kn - 4900kn","3","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima","UI dizajn;UX dizajn;Programeri;Project managers;Kreativni direktor","Research;Analiza konkurencije;Journey Mapping;Wireframing;Izrada prototipa","Radimo A/B testove","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","","","","Empatija, znanje sveukupnih vještina u dizajnu","AI;Machine learning"
"2018/07/02 7:14:42 PM GMT+2","4 - 7 godina","Grafički dizajner","Muški","31-35","GRAD ZAGREB","GRAD ZAGREB","GRF","Grafički dizajner","4","2-5 godina","Medium Dizajner","televizijska kuća","151-500","Ima više dizajn timova","20+","Mentoriranje","100%","0","0","0","0","5","2","4","5","4","5","3","3","4","3","7000kn - 8900kn","2","Najčešće u uredu","Educiram se samostalno doma;Konferencije i događanja u HR","novinar","Research;Analiza konkurencije","Nikako","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Dajte više slobode","/","/","inovativnost, implementacija ideja","VR;AR;Machine learning"
"2018/07/02 7:28:14 PM GMT+2","2 - 3 godine","UI dizajner","Muški","41-45","SPLITSKO-DALMATINSKA","SPLITSKO-DALMATINSKA","Srednja stručna sprema","UI dizajner","1","2-5 godina","Medium Dizajner","Autorski ugovor (freelance)","1","Nema","Samo ja","Nema design tima","0","75%","75%","100%","0","5","5","5","5","5","5","1","1","3","5","2800kn - 4900kn","3","Najčešće remotely","Educiram se samostalno doma;Blogovi;Online tečajevi","UX dizajn;Programeri","Research;Analiza konkurencije;Wireframing;Izrada prototipa","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","","","","UI, UX, Development","Conversational Interfaces;360 video"
"2018/07/02 7:42:21 PM GMT+2","2 - 3 godine","Marketing/Brand dizajner","Muški","26-30","VARAŽDINSKA","VARAŽDINSKA","FOI","Marketing/Brand dizajner","3","manje od 1 godine","Junior Dizajner","Digitalna agencija","2-10","Nema","2-5","Nema design tima","0","25%","50%","100%","1 - 3 sata / tjedno","5","2","3","4","5","4","3","3","2","4","5000kn - 6900kn","4","Najčešće u uredu","Organizirana edukacija unutar tvrtke;Blogovi;Online vodiči","Sales;Project managers;Executives;Copywritter","Research;Analiza konkurencije","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Više grafike, manje teksta","Degordian"," ","Motion design, interaction design, AI","Chatbots;AI"
"2018/07/02 7:49:41 PM GMT+2","11 - 20 godina","UX/UI dizajner","Muški","36-40","GRAD ZAGREB","GRAD ZAGREB","VŠS","UX/UI dizajner","3","2-5 godina","Medium Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","51-150","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje","50%","50%","0","0","1 - 3 sata / tjedno","4","2","4","5","5","4","4","2","1","4","7000kn - 8900kn","4","Najčešće u uredu","Educiram se samostalno doma;Blogovi;Networking događaji / meetups","Programeri;Project managers","Research;Analiza konkurencije;Wireframing;Izrada prototipa;Design Sprint","Nikako","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Usabillity testiranje","","","VR dizajn","VR;AR;360 video"
"2018/07/02 8:35:12 PM GMT+2","4 - 7 godina","Produkt dizajner (digitalni proizvodi)","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","Sveučilište Sjever","Produkt dizajner (digitalni proizvodi)","2","2-5 godina","Senior Dizajner","j.d.o.o. (freelance)","21-50","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup;Revizija dizajna","0","0","75%","25%","9 - 20 sata / tjedno","5","5","3","5","4","4","5","3","4","5","Nisam zaposlen ali freelanceam","4","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Knjige;Blogovi;Webinari;Networking događaji / meetups","UI dizajn;Executives","Intervjui s korisnicima;Analiza konkurencije;Wireframing;Izrada prototipa;Usability testing;Lean UX","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Više kontakta/rada s krajnjim korisnicima klijenata.","Axilis d.o.o.","Flat struktura, direktan kontakt s klijentom, sudjelovanje svakog dizajnera u dizajn timu na svakom projektu u nekoj mjeri","Interaction design, user testing, business","AR;Conversational Interfaces;AI;Machine learning"
"2018/07/02 9:27:41 PM GMT+2","2 - 3 godine","Researcher","Ženski","26-30","ZAGREBAČKA","ZAGREBAČKA","TVZ","Researcher","3","manje od 1 godine","Asistent ","Obrazovna ustanova","151-500","Ima jedan dizajn tim","6-10","Revizija dizajna;Mentoriranje","50%","0","0","0","4 - 8 sata / tjedno","3","3","3","3","3","3","3","1","3","4","5000kn - 6900kn","2","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Knjige;Blogovi;Webinari;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","Programeri;Researcher;Data analyst","Research;Intervjui s korisnicima;Fokus grupe (grupni intervjui);Analiza konkurencije;Persone;Journey Mapping;Wireframing","Pomoću analitike","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Ne mogu odgovoriti","Više prakse","","","Psychology ","AR;AI;Machine learning;Voice"
"2018/07/02 9:46:09 PM GMT+2","8 - 10 godina","Dizajner vizualnih komunikacija","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","GRF","Dizajner vizualnih komunikacija","3","2-5 godina","Management (Head of Design, Chief Design Officier i sl. )","Dizajn studio","1","Nema","Samo ja","Nema design tima","75%","25%","0","0","1 - 3 sata / tjedno","4","4","2","2","3","5","3","1","5","4","5000kn - 6900kn","3","Najčešće u uredu","Educiram se samostalno doma;Knjige;Online tečajevi","Kreativni direktor;Dizajner komunikacija;Copywritter","Research","Nikako","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","","","","Inkluzivni dizajn","AR"
"2018/07/02 10:11:03 PM GMT+2","4 - 7 godina","Copywriter","Muški","26-30","ZAGREBAČKA","GRAD ZAGREB","FER","verbal designer, copywriter, UX writer","2","2-5 godina","Senior Dizajner","Autorski ugovor (freelance)","1","Nema","Samo ja","Nema design tima","75%","0","0","25%","1 - 3 sata / tjedno","5","3","5","5","5","5","1","1","3","3","10000kn - 12900kn","3","Najčešće remotely","Educiram se samostalno doma;Knjige;Audio knjige;Blogovi;Webinari;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UX dizajn;Programeri;Produkt managers;Project managers;Kreativni direktor;Data analyst","Research;Intervjui s korisnicima;Analiza konkurencije;Affinity mapping;Persone;Journey Mapping;Wireframing;Izrada prototipa;Usability testing;Lean UX;Design Sprint","Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Radim samostalno.","Ne bih izdvojio nijednu posebno.","xxx","poznavanje ljudskog ponašanja, razumijevanje komunikacijske uloge dizajna, poznavanje dubljeg kulturnog konteksta u kojem ciljna publika živi i koristi produkt","Conversational Interfaces;AI;Machine learning"
"2018/07/02 10:48:06 PM GMT+2","4 - 7 godina","UX/UI dizajner","Muški","31-35","GRAD ZAGREB","GRAD ZAGREB","TVZ","UX/UI dizajner","3","2-5 godina","Senior Dizajner","Na neodređeno - telekom u drugoj državi + freelance","1001 i više","Ima više dizajn timova","2-5","Revizija dizajna;Mentoriranje;Kontrola vendora koji rade za pod-firme...","25%","50%","50%","0","4 - 8 sata / tjedno","5","5","4","4","4","4","4","2","3","5","20000kn i više","5","Najčešće remotely i povremeno u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Knjige;Webinari;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Sales;Project managers;Kreativni direktor","Research;Intervjui s korisnicima;Analiza konkurencije;Journey Mapping;Wireframing;Izrada prototipa;Usability testing;Lean UX;Design Sprint","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Da moraju napraviti poseban design department sa vise design oriented i forward thinking ljudima koje ce imati konkretne ovlasti.","","","Design+Tech u jednoj osobi. Znaci osoba koja zna osim kompletnog ux procesa te nastajanja i održavanja proizvoda/interfacea u potpunosti razumije i tehnicku pozadinu te je sposobna proizvesti frontend/app kod. Osoba koja zna, razumije i moze dati konkretan output. Malo ih je, ali ima. Govorim sve u kontekstu screen interface designa. v2 T-shaped osobe :)","Conversational Interfaces;Chatbots;AI;Machine learning"
"2018/07/02 10:48:15 PM GMT+2","8 - 10 godina","Produkt dizajner (digitalni proizvodi)","Muški","36-40","ZAGREBAČKA","ZAGREBAČKA","FFZG","Web dizajner","4","6-10 godina","Senior Dizajner","Dizajn studio","2-10","Ima jedan dizajn tim","2-5","Revizija dizajna","0","25%","75%","0","4 - 8 sata / tjedno","5","3","4","4","5","5","4","2","2","4","20000kn i više","5","Najčešće u uredu i povremeno remotely","Edukacija je prisutna jedino u radu na projektima;Knjige;Online tečajevi;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Project managers;Dizajner komunikacija","Research;Intervjui s korisnicima;Wireframing;Izrada prototipa","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","","","","komunikacija, kompozicija i mogućnost prilagodbe","AR;Conversational Interfaces;AI;Machine learning"
"2018/07/02 11:16:38 PM GMT+2","4 - 7 godina","UX/UI dizajner","Ženski","31-35","KOPRIVNIČKO-KRIŽEVAČKA","Amsterdam, Nizozemska","GRF","UI dizajner","2","manje od 1 godine","Senior Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","151-500","Ima jedan dizajn tim","2-5","Revizija dizajna;Mentoriranje;Holocracy sastanci, Design sprint","0","75%","0","75%","4 - 8 sata / tjedno","4","5","5","5","5","5","4","4","4","4","13000kn - 15900kn","4","Najčešće u uredu i povremeno remotely","Organizirana edukacija unutar tvrtke;Knjige;Audio knjige;Blogovi;Webinari;Konferencije i događanja u inozemstvu","UX dizajn;Programeri;Produkt managers;Project managers;Kreativni direktor","Research;Analiza konkurencije;Wireframing;Izrada prototipa;Design Sprint","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","/","/","/","/","Conversational Interfaces;Chatbots;AI"
"2018/07/02 11:29:49 PM GMT+2","manje od 1 godine","Web dizajner","Ženski","18-20","OSJEČKO-BARANJSKA","OSJEČKO-BARANJSKA","Akademija za umjetnost i kulturu Osijek","Web dizajner","1","manje od 1 godine","Lead Dizajner","Autorski ugovor (freelance)","2-10","Nema","Samo ja","Nema design tima","50%","0","0","0","1 - 3 sata / tjedno","2","5","3","5","5","4","2","1","3","5","Nisam zaposlen ali freelanceam","5","Najčešće remotely","Educiram se samostalno doma","Programeri","Research;Intervjui s korisnicima;Analiza konkurencije;Izrada prototipa;Usability testing","Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","","","",".","AI"
"2018/07/03 1:37:13 AM GMT+2","manje od 1 godine","Grafički dizajner","Ženski","26-30","OSJEČKO-BARANJSKA","GRAD ZAGREB","Arhitektonski fakultet - studij dizajna","UX/UI dizajner","2","manje od 1 godine","Intern (plaćeni internship kao student)","Digitalna agencija","51-150","Ima jedan dizajn tim","10-15","Dnevni dizajn Standup","0","50%","50%","0","1 - 3 sata / tjedno","4","4","5","4","5","3","3","2","2","4","2800kn - 4900kn","2","Najčešće u uredu i povremeno remotely","Edukacija je prisutna jedino u radu na projektima;Organizirana edukacija unutar tvrtke;Knjige","UI dizajn;UX dizajn;Programeri;Project managers;Dizajner komunikacija","Research;Intervjui s korisnicima;Fokus grupe (grupni intervjui);Affinity mapping;Persone;Journey Mapping;Wireframing;Design Sprint","Nikako","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","","","Besplatna edukacija","UX, programiranje","Conversational Interfaces"
"2018/07/03 7:41:53 AM GMT+2","manje od 1 godine","Amaterski dizajner","Ženski","46-50","GRAD ZAGREB","GRAD ZAGREB","Upravni pravnik","Samostalni dizajner","1","manje od 1 godine","Samostalni dizajner","j.d.o.o. (freelance)","1","Nema","Samo ja","Nema design tima","25%","0","75%","0","0","5","5","5","5","1","5","1","1","1","5","Nisam zaposlen ali freelanceam","3","Najčešće remotely","Educiram se samostalno doma;Knjige;Blogovi;Online tečajevi","Sales","Intervjui s korisnicima;Persone","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Zaposlite mene.","Privatne tvrtke","Zato sto puno ulazu u dizajn","Originalnost, potrebe trzista, glas pojedinca","Machine learning"
"2018/07/03 8:31:58 AM GMT+2","manje od 1 godine","Dizajner vizualnih komunikacija","Ženski","26-30","GRAD ZAGREB","OSJEČKO-BARANJSKA","Arhitektonski fakultet - studij dizajna","UX/UI dizajner","2","manje od 1 godine","Medium Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup;Revizija dizajna","0","50%","25%","50%","1 - 3 sata / tjedno","4","4","4","5","4","3","4","1","4","4","5000kn - 6900kn","3","Najčešće remotely","Edukacija je prisutna jedino u radu na projektima","UI dizajn;UX dizajn;Programeri;Project managers","Research;Analiza konkurencije;Wireframing","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Nisu potrebni","Nisu potrebni","Ne mogu odgovoriti","Da nam je važna dobra organizacija.",".",".",".","Conversational Interfaces;360 video"
"2018/07/03 9:17:54 AM GMT+2","4 - 7 godina","UX/UI dizajner","Ženski","31-35","GRAD ZAGREB","GRAD ZAGREB","FFZG - Informacijske i komunikacijske znanosti","UX/UI dizajner","4","manje od 1 godine","Freelance Consultant","Startup","11-20","Nema","Samo ja","Revizija dizajna","0","75%","25%","100%","1 - 3 sata / tjedno","4","4","4","5","3","5","3","1","5","4","10000kn - 12900kn","4","Najčešće remotely","Educiram se samostalno doma;Knjige;Blogovi;Webinari;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u inozemstvu","Programeri;Produkt managers;Researcher;Data analyst","Research;Intervjui s korisnicima;Analiza konkurencije;Journey Mapping;Wireframing;Izrada prototipa;Usability testing","Pomoću analitike;Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Bez dobrog copywritinga nema dobrog UX-a","Five?","Čini se da imaju ustaljen proces rayvoja produkta koji uključuje user research i usability testing","UX strategija","AI;Machine learning"
